experiment,fold,epoch,train_loss,best_so_far,epochs_since_improvement,lr_group_0,lr_group_1,lr_head,lr_backbone,train_seconds,train_batch_avg_seconds,train_eval_seconds,val_loss_seconds,val_seconds,total_seconds,data_wait_seconds,to_device_seconds,forward_seconds,backward_seconds,optimizer_seconds,train_pm25_rmse,train_pm25_mae,train_pm25_r2,train_pm25_n,val_pm25_rmse,val_pm25_mae,val_pm25_r2,val_pm25_n,val_loss
resnet_full,fold1_iberia,1,0.7794775612804721,True,0,1e-05,3e-06,1e-05,3e-06,5.101536575704813,0.39242589043883175,0.7182428799569607,0.4429787527769804,0.3579396400600672,6.621550481766462,3.887095119804144,0.04011799953877926,0.5684029534459114,0.5188104100525379,0.0844082199037075,5.255660391604008,3.9072991353987043,-0.05526952779210448,1000,3.371577833838893,2.806066158379449,-0.715977080112898,204,0.4376540780067444
resnet_full,fold1_iberia,2,0.8069173581046462,True,0,1e-05,3e-06,1e-05,3e-06,2.329001823440194,0.17915398641847646,0.6801536772400141,0.14164287969470024,0.346415052190423,3.4981895834207535,1.5983984265476465,0.03871508128941059,0.23778855428099632,0.4129401296377182,0.03894987516105175,5.298547218719454,3.9359355789324773,-0.07256205066503507,1000,3.3309665810129316,2.782185880083751,-0.6748875484895751,204,0.4303331971168518
resnet_full,fold1_iberia,3,0.8046599249260233,True,0,1e-05,3e-06,1e-05,3e-06,2.2167240120470524,0.1705172316959271,0.7448096685111523,0.15600535087287426,0.3608854506164789,3.4794314447790384,1.49242371506989,0.04233044758439064,0.2346876710653305,0.40704728104174137,0.037972861900925636,5.324977472105122,3.9535726501825934,-0.08328906268113823,1000,3.282195042806547,2.743089254057655,-0.6261996877515559,204,0.4219363331794739
resnet_full,fold1_iberia,4,0.812519876822094,True,0,1e-05,3e-06,1e-05,3e-06,2.15771927498281,0.16597840576790845,0.6984682474285364,0.13712060824036598,0.34110642969608307,3.3354546036571264,1.4326803665608168,0.03921354562044144,0.23448210582137108,0.41215978004038334,0.03704524040222168,5.313719252166611,3.9366881472396518,-0.0787132633952381,1000,3.2297413340750274,2.7002299145858357,-0.5746374862190933,204,0.4130043089389801
resnet_full,fold1_iberia,5,0.7559932061481132,True,0,1e-05,3e-06,1e-05,3e-06,2.2656165156513453,0.17427819351164195,0.7427505571395159,0.14329959265887737,0.34765611588954926,3.50022547878325,1.542829966172576,0.039315780624747276,0.23543446511030197,0.4082802552729845,0.037470581009984016,5.282798556701415,3.900636006817156,-0.06619565863797683,1000,3.185595804543232,2.6665191323751007,-0.5318859900920294,204,0.40610140562057495
resnet_full,fold1_iberia,6,0.7664658630224198,True,0,1e-05,3e-06,1e-05,3e-06,2.2642831578850746,0.17417562752962112,0.7390008140355349,0.14207749255001545,0.34879873506724834,3.4950900096446276,1.5442609377205372,0.03845903091132641,0.2352903913706541,0.40731703862547874,0.036913853138685226,5.247088916944825,3.861373233027948,-0.05183024922170154,1000,3.146736146701875,2.640368425234385,-0.4947403583859502,204,0.4002301096916199
resnet_full,fold1_iberia,7,0.7417949488303578,True,0,1e-05,3e-06,1e-05,3e-06,2.2523877304047346,0.17326059464651805,0.7158177010715008,0.1357439886778593,0.34632411412894726,3.4512335769832134,1.5341800265014172,0.03876857832074165,0.23483305983245373,0.4056641422212124,0.036900660023093224,5.205118214262445,3.8242687795030026,-0.03507067208608716,1000,3.1431845391371214,2.645308070427273,-0.49136814347490665,204,0.40042829513549805
resnet_full,fold1_iberia,8,0.777921917636472,True,0,1e-05,3e-06,1e-05,3e-06,2.206283202394843,0.169714092491911,0.7013964243233204,0.14196940138936043,0.34449554421007633,3.3950588516891003,1.4815213419497013,0.038754891604185104,0.2351757101714611,0.4120531249791384,0.03676130622625351,5.167372532561963,3.7887074121150173,-0.02011316772454097,1000,3.1306215378573206,2.6430178036863246,-0.47947026311658925,204,0.39871910214424133
resnet_full,fold1_iberia,9,0.7710287459060173,True,0,1e-05,3e-06,1e-05,3e-06,2.2248117960989475,0.17113936893068826,0.6886287946254015,0.14766640402376652,0.3522929158061743,3.414310796186328,1.5037303883582354,0.03848453052341938,0.23516098596155643,0.40842922404408455,0.036951182410120964,5.142310304810747,3.761780606647846,-0.010241880559735739,1000,3.1242816746885773,2.6447494827042783,-0.4734841408712671,204,0.39796745777130127
resnet_full,fold1_iberia,10,0.7777069174425697,True,0,1e-05,3e-06,1e-05,3e-06,2.2287486605346203,0.17144220465650925,0.7173716835677624,0.14389236271381378,0.3479321151971817,3.4388646110892296,1.5071285124868155,0.038363054394721985,0.2348690778017044,0.4093282762914896,0.037001460790634155,5.124003133676443,3.7398829921691092,-0.0030615478286926123,1000,3.1047116249441116,2.632677849562242,-0.4550825701034844,204,0.39483505487442017
resnet_full,fold1_iberia,11,0.7369507515330034,False,1,1e-05,3e-06,1e-05,3e-06,2.264529073610902,0.17419454412391552,0.7078907378017902,0.14668936468660831,0.3485461473464966,3.4685969036072493,1.542259268462658,0.03881717845797539,0.23515376821160316,0.40958261489868164,0.036662133410573006,5.092451987111989,3.7128858081431653,0.009253162096275136,1000,3.1059492416496597,2.640584652523973,-0.45624286686751647,204,0.3954124450683594
