category,n,mean,median,std,q25,q75,min,max
Urban,1151,12.08650369226423,10.73240469438406,5.251379140247773,8.184424534412535,14.912931487734582,2.9053246587877393,49.00577017408457
Suburban,449,9.889575113406226,9.034166827112175,4.057335276861515,7.252752687515683,11.481205504002132,2.7850421161207732,30.482628212817936
Rural,269,8.42481310324552,7.869457105891517,3.9043503432737587,5.6765301456065105,10.03999999490177,1.766934171682823,26.92462234854764
