experiment,role,status,pollutant,pooled_cv_rmse,pooled_cv_mae,pooled_cv_r2,mean_fold_rmse,mean_fold_mae,mean_fold_r2,n_oof,median_best_epoch,total_parameters,trainable_parameters
cnn,supplementary_full_cv,development_complete_cv,pm25,3.80871455731511,2.677586335874127,0.4215214976862285,3.8401188937316437,2.9242427658402494,-0.38871392300896984,1869,21.5,1297569,1297569
cnn_deep_wide,main,main_complete_cv,pm25,3.822866467296536,2.699966389271987,0.4172146456726721,3.837982213295934,2.936294233783906,-0.39681079735971125,1869,15.0,4536401,4536401
resnet_frozen,main,main_complete_cv,pm25,4.894636857664803,3.6632484026145877,0.044630604559482534,4.912314515755892,3.9484576508497895,-1.263485751770944,1869,32.0,23766049,236065
