variable,n,beta_pm25_per_1sd,se,ci95_low,ci95_high,p_value,density_beta_pm25_per_1sd,r2
disposable_income_2023_eur_per_capita,132,-0.19327201588376122,0.12952402530607898,-0.44713910548367597,0.06059507371615355,,0.1715566365882646,0.034113150845913154
unemployment_rate_2024_pct,134,0.2844781161187979,0.13405546395915718,0.021729406758849823,0.547226825478746,,0.16488557858702263,0.061388501285492114
no_vocational_qualification_2022_pct,134,-0.3587899939943542,0.13377102339670582,-0.6209811998518976,-0.09659878813681078,,0.3784101676035754,0.07966231635023058
university_degree_2022_pct,134,0.24745977390472157,0.2015088226965074,-0.14749751858043297,0.6424170663898761,,0.06532134800562575,0.04017215321846379
immigration_history_2022_pct,134,-0.2915561836489263,0.15943491223796602,-0.6040486116353397,0.020936244337487087,,0.4309833014855658,0.05328968087072905
