AGS,Name,n_grid_points,mean_pred_pm25,median_pred_pm25,std_pred_pm25,min_pred_pm25,max_pred_pm25
01002,Kiel,1,8.405565474882115,8.405565474882115,0.0,8.405565474882115,8.405565474882115
01003,Lübeck,1,13.087915232942883,13.087915232942883,0.0,13.087915232942883,13.087915232942883
01051,Dithmarschen,13,9.475270737150739,9.551336851934549,0.8071327383133929,8.15489459178478,10.84234627883135
01053,Herzogtum Lauenburg,11,11.001638557003808,11.206210153567108,1.5124815113749583,8.554188199436368,13.654427688333303
01054,Nordfriesland,23,8.204361367501416,7.781717497927303,1.1699362593236688,7.033112045230824,12.158202557900042
01055,Ostholstein,11,10.90486273383571,10.419332304281566,1.79336734929652,8.798993103699638,15.616229091287517
01056,Pinneberg,6,10.012575517922492,9.336380164014411,1.609100786163262,8.822706957808165,13.467327327773882
01057,Plön,14,9.643259832076803,9.726569424944778,1.047871790843029,7.958978079326321,11.395821238035465
01058,Rendsburg-Eckernförde,21,8.33594448550856,8.242310677493354,0.880156311701393,6.961455107893909,9.767282587853684
01059,Schleswig-Flensburg,21,8.439699970782339,8.254580898588003,0.858782195588915,7.240466006046685,10.703675393622737
01060,Segeberg,14,9.725099612308524,9.521540134566134,1.0659045045090771,7.9215118218999905,12.676689216118852
01061,Steinburg,11,10.063405934969445,9.778032197457712,1.613341263489145,7.767492638400613,13.44359096871892
01062,Stormarn,9,10.465494835850402,10.20219062660876,1.2567449036620457,8.147175989650286,12.04295513550135
02000,Hamburg,8,9.790470779827897,9.684979965971223,0.9108874708684315,8.753901851376673,11.273850388856848
03101,Braunschweig,2,11.716964391898927,11.716964391898927,1.9374998139697146,9.779464577929213,13.654464205868642
03102,Salzgitter,2,9.675717724445384,9.675717724445384,1.405554089925248,8.270163634520136,11.081271814370632
03103,Wolfsburg,2,9.656097052709729,9.656097052709729,0.9510528007982426,8.705044251911486,10.607149853507972
03151,Gifhorn,14,9.524025324233687,9.142101569402694,1.613062018427398,7.837957983274419,13.352076919000444
03153,Goslar,10,7.739327549544257,7.4275069556517,1.6018009005404679,6.070365264185627,11.91984464456361
03154,Helmstedt,9,10.101376623962368,9.776373102949306,1.3254779415530276,7.707665218732205,12.03129657217544
03155,Northeim,13,8.222100641122132,8.340254094090733,1.1477061560976014,6.471672736838052,10.441830241698588
03157,Peine,7,9.85149877240867,9.64133223915014,0.9369251567283433,8.829801058649549,11.789818619569044
03158,Wolfenbüttel,8,10.015681790788394,9.405164142348909,1.9810048142278842,7.745570351585224,14.679638457661165
03159,Göttingen,16,8.066406134215537,7.942099644943083,0.8636049046199161,6.859600417634892,10.050502681523424
03241,Region Hannover,22,9.647561335711181,9.665924511444913,1.414469589858444,7.587763096795522,13.932081486705169
03251,Diepholz,18,10.214575172237286,9.981509629632516,1.5349498552028433,8.20041659413434,13.136706528796502
03252,Hameln-Pyrmont,8,8.162756540453577,8.23876571882195,0.851018384795794,6.52117376672997,9.4135225771481
03254,Hildesheim,9,8.946650255512333,8.627379529161212,1.21175566229018,7.343225097750053,11.186918196530778
03255,Holzminden,7,8.216464238416291,8.135831582703359,0.777995540857476,7.062474742112196,9.39628186636478
03256,Nienburg (Weser),16,10.040354399115042,9.694593501193907,1.301565706675193,8.309706427537423,13.308348104161038
03257,Schaumburg,8,8.396754292045205,8.390583895614089,1.0459562195581975,6.572074482063588,10.155034274705146
03351,Celle,17,9.035965528336485,8.49499948135844,1.5192621390164773,7.471293691048277,13.060264379692857
03352,Cuxhaven,21,9.160054544542104,8.95994995012804,0.8106567000286898,7.521732775573377,11.380727494617425
03353,Harburg,14,9.281413793937077,9.062775332683032,1.1026121257403552,7.299687591357607,11.61559734307535
03354,Lüchow-Dannenberg,14,9.015163966846309,8.672996274065166,1.2217237770971778,7.400384729960058,12.080666799149135
03355,Lüneburg,13,8.936966103662261,9.082234199541372,0.8732249950913674,7.599094121375753,11.059788855258656
03356,Osterholz,6,9.366848297359548,9.427154594606383,0.682608632987252,8.351460681297107,10.165094008093872
