AGS,Name,bevoelkerung_gesamt,bevoelkerung_unter15,bevoelkerung_15_64,bevoelkerung_65plus,medianalter,tode_2024,arbeitslosenquote_pct,bruttolohn_je_arbeitnehmer_eur,todesrate_je_1000ew
03404,OsnabrÃ¼ck,165686.0,20731.0,113126.0,31829.0,40.3,1749.0,7.7,42225.0,10.556112163972816
03405,Wilhelmshaven,76010.0,9481.0,46872.0,19657.0,47.6,1232.0,11.7,41248.0,16.208393632416787
03451,Ammerland,127292.0,18229.0,78149.0,30914.0,48.2,1562.0,4.4,38679.0,12.270998963014172
03452,Aurich,188960.0,25093.0,117309.0,46558.0,49.4,2718.0,6.5,35516.0,14.383996613039796
03453,Cloppenburg,176540.0,29496.0,115733.0,31311.0,41.3,1746.0,4.5,36530.0,9.89010989010989
03454,Emsland,334203.0,50508.0,215785.0,67910.0,44.2,3732.0,3.4,39017.0,11.166865647525606
03455,Friesland,100461.0,13170.0,60448.0,26843.0,51.0,1508.0,4.7,37064.0,15.010800211027163
03456,Grafschaft Bentheim,144212.0,21859.0,91566.0,30787.0,45.4,1583.0,3.4,37015.0,10.976895126619144
03457,Leer,169111.0,24671.0,106098.0,38342.0,46.5,2244.0,5.9,35415.0,13.269391109981017
03458,Oldenburg,131965.0,18765.0,83358.0,29842.0,47.7,1722.0,3.6,35992.0,13.0489144849013
03459,OsnabrÃ¼ck,356194.0,53262.0,223554.0,79378.0,46.4,4395.0,3.6,38070.0,12.33878167515455
03460,Vechta,146400.0,23694.0,96668.0,26038.0,41.7,1381.0,3.8,39213.0,9.433060109289617
03461,Wesermarsch,89316.0,12134.0,55318.0,21864.0,49.1,1367.0,6.4,46096.0,15.30520847328586
03462,Wittmund,56013.0,7330.0,33890.0,14793.0,50.6,808.0,5.8,35279.0,14.425222716155178
04011,Bremen,584332.0,83985.0,380252.0,120095.0,42.2,6845.0,10.4,46464.0,11.714230950897779
04012,Bremerhaven,118323.0,17955.0,74758.0,25610.0,43.2,1550.0,14.5,45401.0,13.099735469857931
