,count,mean,std,min,25%,median,75%,max,missing,coverage_pct
unemployment_rate_2024_pct,400.0,5.57575,2.21022616189312,2.3,3.9,5.3,6.725,14.8,0,100.0
disposable_income_2023_eur_per_capita,398.0,28237.37176618258,3089.5499134517477,20137.6515922146,26180.8680091147,28024.9354171987,30034.073490606224,44519.5283820163,2,99.5
immigration_history_2022_pct,400.0,19.85887630523157,8.336054256450069,4.533757702986389,13.81106464870129,19.724899253880345,25.573505497649563,50.14944508375876,0,100.0
foreign_national_2022_pct,400.0,11.567111597265939,5.466977991628653,2.890659147854245,7.365576084639684,10.793911229305298,14.790245066573586,37.87023378308452,0,100.0
no_vocational_qualification_2022_pct,400.0,26.309578917828357,5.3450689315333895,15.35226469165209,21.968247063122757,26.968020341528117,29.700240377267555,44.05684754521964,0,100.0
university_degree_2022_pct,400.0,17.734386054279152,6.014897872428007,9.606323149414804,13.491835989622633,15.76602211637943,20.431763036728732,41.354318827551886,0,100.0
share_65plus_2024_pct,400.0,23.39846478408411,3.131639481612822,15.89296100832982,21.434081588384323,22.93957142198147,25.25420168067042,32.78155727545652,0,100.0
median_age_2024,400.0,48.64075,3.707043277621046,36.2,46.5,48.5,50.9,57.9,0,100.0
population_density_2024_per_km2,400.0,550.7027499999999,729.066059912769,35.1,116.7,205.10000000000002,690.725,4828.6,0,100.0
