variable,n,pearson_r,spearman_rho
disposable_income_2023_eur_per_capita,132,-0.14483618450915334,-0.14338413695585248
unemployment_rate_2024_pct,134,0.22483096006546402,0.21515961702900838
no_vocational_qualification_2022_pct,134,-0.15311451854181315,-0.18794997443858402
university_degree_2022_pct,134,0.19849996400642184,0.13035823389319068
immigration_history_2022_pct,134,-0.02194687239495069,-0.07962942181323958
log_population_density,134,0.17065356747292973,0.04730738202148595
