experiment,fold,epoch,train_loss,best_so_far,epochs_since_improvement,lr_group_0,lr,train_seconds,train_batch_avg_seconds,train_eval_seconds,val_loss_seconds,val_seconds,total_seconds,data_wait_seconds,to_device_seconds,forward_seconds,backward_seconds,optimizer_seconds,train_pm25_rmse,train_pm25_mae,train_pm25_r2,train_pm25_n,val_pm25_rmse,val_pm25_mae,val_pm25_r2,val_pm25_n,val_loss
cnn,fold1_iberia,1,0.4073367618051247,True,0,0.0003,0.0003,4.7423398699611425,0.3647953746123956,0.6663603615015745,0.4049581401050091,0.2817128002643585,6.095632318407297,3.7268298137933016,0.040556926280260086,0.44747242517769337,0.4713070895522833,0.05374586768448353,5.156478196462479,3.7680051785848354,-0.015816306823769333,1000,3.0980887761918363,2.5565104791622275,-0.44888134143291714,204,0.3897054195404053
cnn,fold1_iberia,2,0.32892222811885974,True,0,0.0003,0.0003,2.0218904837965965,0.15553003721512282,0.6388458162546158,0.12301685847342014,0.2647677455097437,3.0487178433686495,1.3764523286372423,0.03896158002316952,0.1782242227345705,0.40778323635458946,0.018377410247921944,4.848853404634192,3.3316450535212243,0.10177132080111606,1000,2.6324784894991797,2.123300627510136,-0.04610376519860626,204,0.3014250695705414
cnn,fold1_iberia,3,0.30218118192486815,False,1,0.0003,0.0003,2.0873580519109964,0.16056600399315357,0.6237792130559683,0.11608391255140305,0.2550438866019249,3.082467705011368,1.4515185561031103,0.038832707330584526,0.17818725667893887,0.3967469595372677,0.019965559244155884,3.7900749249939656,2.522723500854703,0.4512122610138285,1000,2.701210897068777,2.1803430507301234,-0.10144315678178395,204,0.2983885109424591
cnn,fold1_iberia,4,0.283370518368791,False,2,0.0003,0.0003,1.9696823079138994,0.15151402368568456,0.6493226755410433,0.1284014042466879,0.26563750952482224,3.0132865253835917,1.3340502437204123,0.038514479994773865,0.17748013697564602,0.3912452161312103,0.026284458115696907,3.7317840511838556,2.430041718239262,0.4679630227496575,1000,2.7596631852718225,2.1770039392618776,-0.14962781496265798,204,0.3017476499080658
cnn,fold1_iberia,5,0.259601006582469,False,3,0.0003,0.0003,1.9807493388652802,0.1523653337588677,0.6395003981888294,0.12190939858555794,0.26245897449553013,3.0048480927944183,1.3378916755318642,0.03862795606255531,0.17911501228809357,0.403104767203331,0.01998988352715969,3.6452524421566124,2.411994906418536,0.492350423784056,1000,3.112256863649272,2.4721590096701047,-0.4621636052973832,204,0.3370521068572998
cnn,fold1_iberia,6,0.25584386717685004,False,4,0.0003,0.0003,1.9606101680547,0.15081616677343845,0.6144350450485945,0.13127033598721027,0.2680980060249567,2.9746443182229996,1.3169002197682858,0.03869834542274475,0.1783417947590351,0.40556477569043636,0.019101908430457115,3.269034789767073,2.2001452634162884,0.591729600550081,1000,3.3375187615671305,2.6642798437502204,-0.6814832069744494,204,0.3770347237586975
cnn,fold1_iberia,7,0.24477291221939987,True,0,0.0003,0.0003,1.985387347638607,0.15272210366450822,0.6422737389802933,0.12416557222604752,0.2633950933814049,3.0154456831514835,1.3520040772855282,0.03850497677922249,0.17763113789260387,0.39202017337083817,0.023274237290024757,3.300244294440167,2.169924332567002,0.5838968662043558,1000,2.5594567717678,2.0128498328956006,0.01112658670661315,204,0.27521222829818726
cnn,fold1_iberia,8,0.24354071680245704,False,1,0.0003,0.0003,1.9846835099160671,0.15266796230123594,0.6542539410293102,0.14528449811041355,0.2715179193764925,3.05592418089509,1.346942400559783,0.038359981030225754,0.1776586938649416,0.401457229629159,0.018334049731492996,4.212004389369679,2.7869302488021424,0.32222360587048404,1000,6.441045820894884,5.337970680172034,-5.262646240219881,204,0.7470825910568237
cnn,fold1_iberia,9,0.2321245627282759,False,2,0.0003,0.0003,2.3955280035734177,0.1842713848902629,0.6704228650778532,0.1330359186977148,0.25454145669937134,3.45376019179821,1.7387756016105413,0.038091547787189484,0.17774377204477787,0.41931135579943657,0.019593439996242523,3.4484225914924287,2.242384654647762,0.5456926406873295,1000,2.6593874499106134,2.1007789211438164,-0.06759942876255698,204,0.28312429785728455
cnn,fold1_iberia,10,0.22554008194685843,False,3,0.0003,0.0003,2.0688376035541296,0.15914135411954844,0.6307318489998579,0.12572824954986572,0.2479699682444334,3.073496451601386,1.430152839049697,0.03832452371716499,0.17793092504143715,0.40112099796533585,0.019338885322213173,3.1874588153472074,2.1439855389485523,0.6118514457741443,1000,3.0355807423493744,2.39617657893678,-0.3910049674806739,204,0.32924214005470276
cnn,fold1_iberia,11,0.22551088642987965,False,4,0.0003,0.0003,1.9705882649868727,0.1515837126912979,0.6360074039548635,0.12145306915044785,0.257808867841959,2.9860823061317205,1.3414094541221857,0.03829767554998398,0.1777338832616806,0.39252317510545254,0.01868743821978569,3.450038203631023,2.281971507547417,0.5452668480801135,1000,2.898151250704275,2.1783698297070377,-0.26790640829840817,204,0.3037806451320648
cnn,fold1_iberia,12,0.20252952851112999,False,5,0.0003,0.0003,1.9980651903897524,0.15369732233767325,0.6261323746293783,0.11557968147099018,0.2537768967449665,2.993785362690687,1.3645309414714575,0.04304780252277851,0.17773297056555748,0.3930787332355976,0.017750173807144165,3.3547074544630147,2.120064338772799,0.5700498386675674,1000,2.64889050744343,2.00213828272569,-0.0591881587321057,204,0.26992127299308777
cnn,fold1_iberia,13,0.21903448759003236,False,6,0.0003,0.0003,1.984340338036418,0.15264156446433985,0.6354812625795603,0.1300852857530117,0.26204719208180904,3.0121802277863026,1.3430497590452433,0.03838291950523853,0.17784271202981472,0.4045203998684883,0.018572824075818062,3.2167059731086787,2.110694107424494,0.6046956988107801,1000,2.9303279564496387,2.292031846399654,-0.2962165428394137,204,0.3117404282093048
cnn,fold1_iberia,14,0.2183695493622377,True,0,0.0003,0.0003,2.107140066102147,0.16208769739247286,0.6420044079422951,0.12775881215929985,0.2641089726239443,3.1412395127117634,1.4580259639769793,0.03847171366214752,0.1778024137020111,0.39447953552007675,0.03628924861550331,3.5720352889964864,2.3166095221218295,0.5125385339962404,1000,2.400203792599589,1.8310276675923178,0.13035633389785406,204,0.2426874339580536
cnn,fold1_iberia,15,0.21109748546540666,False,1,0.0003,0.0003,1.9720685556530952,0.15169758120408425,0.6366817634552717,0.1300094947218895,0.26168176159262657,3.000651076436043,1.340728785842657,0.038629984483122826,0.17775116674602032,0.3952360674738884,0.017807703465223312,3.3027614092449813,2.330817298156872,0.5832618957682443,1000,4.5290529264891255,3.8348561851121525,-2.096420219046636,204,0.5272543430328369
cnn,fold1_iberia,16,0.2074411233840006,False,2,0.0003,0.0003,2.022045960649848,0.15554199697306523,0.5130774844437838,0.19662735424935818,0.2616547830402851,2.993634009733796,1.3854276333004236,0.03852427937090397,0.17780615016818047,0.4006185829639435,0.017751341685652733,3.4109807259131095,2.230213627667816,0.5555045297151515,1000,2.61076450254922,1.9936401688725178,-0.028917375289531977,204,0.2692115008831024
cnn,fold1_iberia,17,0.19667787471546305,False,3,0.0003,0.0003,1.9673480037599802,0.15133446182769078,0.6236337199807167,0.12031683698296547,0.24801195040345192,2.9595424998551607,1.3341632280498743,0.038527460768818855,0.17772545479238033,0.39743261970579624,0.017613349482417107,3.426302372779677,2.2272137833353547,0.5515023386360867,1000,2.598432374737588,1.999040765878461,-0.01922000695719195,204,0.2727842926979065
cnn,fold1_iberia,18,0.20655296339455065,False,4,0.0003,0.0003,1.9912964813411236,0.15317665241085565,0.6390253249555826,0.12455996684730053,0.26274205558001995,3.0178562831133604,1.3627576176077127,0.03843780420720577,0.17787381447851658,0.3925867285579443,0.017686141654849052,3.1530271405036925,2.228742946429743,0.620191896138081,1000,4.077782166275407,3.412228668491526,-1.5101122738302828,204,0.47582659125328064
cnn,fold1_iberia,19,0.2010935738628952,False,5,0.0003,0.0003,1.9910334516316652,0.15315641935628194,0.6288104150444269,0.1332968883216381,0.27132770977914333,3.0246928092092276,1.3618787173181772,0.03846997581422329,0.17766719870269299,0.3927183039486408,0.018360400572419167,3.3037833191282195,2.140469696006242,0.5830039693734193,1000,2.5702589660603747,1.982760179079477,0.0027618863763715362,204,0.26498207449913025
cnn,fold1_iberia,20,0.18375244783293612,False,6,0.0003,0.0003,2.0067588668316603,0.15436606667935848,0.6339602191001177,0.109665147960186,0.24961242824792862,3.0002181474119425,1.3647914361208677,0.03806132264435291,0.1779885571449995,0.4064251147210598,0.01759921945631504,3.7129794419818136,2.380662394354923,0.4733114245542406,1000,2.552212349328751,1.964533434798538,0.01671658408400578,204,0.26493972539901733
cnn,fold1_iberia,21,0.20063854382786941,False,7,0.0003,0.0003,2.0440371613949537,0.15723362779961184,0.6359313037246466,0.13474596850574017,0.2663539946079254,3.081294657662511,1.4046148490160704,0.03838645666837692,0.17749926447868347,0.39380398392677307,0.027781082317233086,3.3022636843320843,2.097874924975181,0.5833874908578079,1000,2.5805617319839964,1.949943494212275,-0.005248904010215938,204,0.2577015459537506
