experiment,fold,pollutant,n_train,n_val,n_buffer_dropped,n_train_before_buffer,best_epoch,rmse,mae,r2,n,baseline_rmse,total_parameters,trainable_parameters,frozen_parameters
cnn,fold1_iberia,pm25,1662,204,3,1665,8,2.511586974678572,1.928047393076027,0.047770685606267294,204,4.199973338549879,1297569,1297569,0
cnn,fold2_france,pm25,1392,362,115,1507,13,1.8936303085053483,1.4857492543672628,-0.3098535879828017,362,4.203182751213454,1297569,1297569,0
cnn,fold3_italy,pm25,1558,286,25,1583,9,3.5469788177925436,2.7490032520924235,0.31370691606414014,286,5.051499845035198,1297569,1297569,0
cnn,fold4_alpine,pm25,1466,253,150,1616,29,1.7289062768578716,1.280230601330977,0.06297318370127891,253,3.3768510166887133,1297569,1297569,0
cnn,fold5_north,pm25,1672,197,0,1672,4,3.3394450146645442,2.68385166160018,-1.4612367879920516,197,5.270858973639683,1297569,1297569,0
cnn,fold6_balkan_e,pm25,1658,146,65,1723,24,6.237849627222492,4.382556737001272,-0.02020461734479806,146,8.296847586740398,1297569,1297569,0
cnn,fold7_balkan_s,pm25,1713,144,12,1725,65,6.881280070417792,5.180081103905747,-0.08202629267233719,144,9.399567815060905,1297569,1297569,0
cnn,fold8_poland,pm25,1538,277,54,1592,47,4.378991897417845,3.6168241421391563,-1.1607298475496841,277,4.729557166067676,1297569,1297569,0
