experiment,fold,epoch,train_loss,best_so_far,epochs_since_improvement,lr_group_0,lr_head,train_seconds,train_batch_avg_seconds,train_eval_seconds,val_loss_seconds,val_seconds,total_seconds,data_wait_seconds,to_device_seconds,forward_seconds,backward_seconds,optimizer_seconds,train_pm25_rmse,train_pm25_mae,train_pm25_r2,train_pm25_n,val_pm25_rmse,val_pm25_mae,val_pm25_r2,val_pm25_n,val_loss
resnet_frozen,fold6_balkan_e,1,0.7454423639189087,True,0,1e-05,1e-05,0.7129689622670412,0.1018527088952916,0.45965083688497543,0.08519533276557922,0.2319592498242855,1.490959208458662,0.5196775067597628,0.02055279165506363,0.11769408918917179,0.04640931263566017,0.007575957104563713,4.699704070822589,3.3009242311888003,-0.03919079104218581,827,8.857656862543156,6.73395119285176,-1.057098987128065,146,0.7281835675239563
resnet_frozen,fold6_balkan_e,2,0.7525249790251616,False,1,1e-05,1e-05,0.664503064006567,0.09492900914379529,0.45693577639758587,0.07032575085759163,0.23132036067545414,1.4243896398693323,0.4726206585764885,0.02049555815756321,0.11727316305041313,0.04605108126997948,0.007060995325446129,4.713719407149429,3.3023115821124747,-0.045398128918921365,827,8.885003806682233,6.775772038363429,-1.0698206838003737,146,0.7370409965515137
resnet_frozen,fold6_balkan_e,3,0.8137517742263074,False,2,1e-05,1e-05,0.6979541312903166,0.0997077330414738,0.45979627780616283,0.07030982337892056,0.23059245944023132,1.459973642602563,0.5062999874353409,0.020224859938025475,0.11727251671254635,0.046082790940999985,0.007086124271154404,4.736434025649463,3.317161733901482,-0.055497598646456536,827,8.915113902117213,6.824149130667553,-1.083873148156521,146,0.74770587682724
resnet_frozen,fold6_balkan_e,4,0.8077497932037391,False,3,1e-05,1e-05,0.6620868593454361,0.09458383704934802,0.45640804246068,0.07031829096376896,0.23074670135974884,1.4208509922027588,0.4701699558645487,0.020470980554819107,0.11732609197497368,0.046052705496549606,0.007071308791637421,4.751154269403072,3.33433356145649,-0.06206850226590066,827,8.927064084083725,6.84801920549683,-1.089463509392854,146,0.7532833814620972
resnet_frozen,fold6_balkan_e,5,0.7529710910340462,False,4,1e-05,1e-05,0.6615919414907694,0.09451313449868134,0.5196227356791496,0.09015454910695553,0.2458808720111847,1.5185501407831907,0.46999641507864,0.020428402349352837,0.11715402267873287,0.04596678912639618,0.00705505907535553,4.761134261839071,3.3480558446399185,-0.06653502441605719,827,8.940793543143624,6.86502225447771,-1.0958954702954156,146,0.757453203201294
resnet_frozen,fold6_balkan_e,6,0.7618789534470767,False,5,1e-05,1e-05,0.6814503446221352,0.0973500492317336,0.45776177383959293,0.0716919619590044,0.23148261941969395,1.4436915926635265,0.4892895929515362,0.0203995481133461,0.11724282242357731,0.0462836567312479,0.007239639759063721,4.763722161511785,3.352357328858891,-0.06769476308619815,827,8.955315796452885,6.877641312745888,-1.102709595645877,146,0.7603206634521484
resnet_frozen,fold6_balkan_e,7,0.8246691425881623,False,6,1e-05,1e-05,0.8358810991048813,0.11941158558641161,0.5118531044572592,0.08243458345532417,0.23078810796141624,1.6622745264321566,0.6430328655987978,0.020634030923247337,0.11755073443055153,0.04646861180663109,0.007161460816860199,4.759953964893374,3.3493758396320374,-0.06600629662587676,827,8.968567938443709,6.88649743522462,-1.1089374103822784,146,0.7625349760055542
resnet_frozen,fold6_balkan_e,8,0.7610077586975467,False,7,1e-05,1e-05,0.7993153594434261,0.11418790849191802,0.4687741845846176,0.08367062173783779,0.23089364729821682,1.5839386265724897,0.6075329668819904,0.02011973038315773,0.11732259206473827,0.04612710699439049,0.007177768275141716,4.749989618887245,3.342973309921298,-0.06154787634912906,827,8.972773230039454,6.886462671540949,-1.1109156026778835,146,0.7628461122512817
resnet_frozen,fold6_balkan_e,9,0.804058669988593,False,8,1e-05,1e-05,0.6972772534936666,0.09961103621338095,0.46225001849234104,0.07236700132489204,0.23264878056943417,1.4658340830355883,0.5054660309106112,0.020415695384144783,0.11722109653055668,0.04601006396114826,0.007118966430425644,4.73238366460409,3.3292492591460876,-0.053693153197231336,827,8.968895228731983,6.8750125401905855,-1.1090913362558652,146,0.7608071565628052
resnet_frozen,fold6_balkan_e,10,0.7872211405559203,False,9,1e-05,1e-05,0.6684464178979397,0.09549234541399139,0.461907047778368,0.06972247920930386,0.2322570886462927,1.4336554277688265,0.47592997178435326,0.020351620391011238,0.11730674467980862,0.04668540135025978,0.007177660241723061,4.723384222405751,3.317749121760686,-0.04968940588842363,827,8.982602450876389,6.881161697158213,-1.1155429390983778,146,0.7632142901420593
resnet_frozen,fold6_balkan_e,11,0.7682663111473369,False,10,1e-05,1e-05,0.6544923856854439,0.09349891224077769,0.4587709568440914,0.07029278017580509,0.23118058778345585,1.4160292353481054,0.4617559630423784,0.020472466945648193,0.11727656982839108,0.046548789367079735,0.007445951923727989,4.715266886534121,3.3086691447341274,-0.04608463460935597,827,8.986062154732053,6.88029354466938,-1.1171728813364266,146,0.763716995716095
resnet_frozen,fold6_balkan_e,12,0.7524500365989528,False,11,1e-05,1e-05,0.6555025558918715,0.09364322227026735,0.4534573797136545,0.07011048123240471,0.23026843927800655,1.410650160163641,0.4640802498906851,0.020365700125694275,0.11715133301913738,0.045967236161231995,0.006957903504371643,4.706182867328515,3.3007374881710123,-0.042057927467842315,827,8.991587040343935,6.8847972181665105,-1.119777077402381,146,0.7648608088493347
resnet_frozen,fold6_balkan_e,13,0.7999682997273418,False,12,1e-05,1e-05,0.6551255956292152,0.09358937080417361,0.4539954923093319,0.06970909051597118,0.23026098124682903,1.410380581393838,0.4635505322366953,0.020494025200605392,0.11723909713327885,0.04589878022670746,0.006959045305848122,4.691190405781971,3.2906499799816973,-0.03542914623621396,827,8.985742993926399,6.876057022155687,-1.1170224914123361,146,0.7629900574684143
