experiment,fold,epoch,train_loss,best_so_far,epochs_since_improvement,lr_group_0,lr_head,train_seconds,train_batch_avg_seconds,train_eval_seconds,val_loss_seconds,val_seconds,total_seconds,data_wait_seconds,to_device_seconds,forward_seconds,backward_seconds,optimizer_seconds,train_pm25_rmse,train_pm25_mae,train_pm25_r2,train_pm25_n,val_pm25_rmse,val_pm25_mae,val_pm25_r2,val_pm25_n,val_loss
resnet_frozen,fold3_italy,1,0.8304284170538111,True,0,1e-05,1e-05,0.7997210696339607,0.11424586709056582,0.4790441654622555,0.18161998130381107,0.45113788172602654,1.9127294681966305,0.6171044167131186,0.018641432747244835,0.11433447897434235,0.04120420105755329,0.007378924638032913,4.998924242876767,3.5177712288303113,-0.038031810252955545,778,5.676674118996309,4.405237784963339,-0.757844098756487,286,0.4525201916694641
resnet_frozen,fold3_italy,2,0.7770153716168244,False,1,1e-05,1e-05,0.7140002306550741,0.10200003295072488,0.48125761561095715,0.15512238815426826,0.45325206220149994,1.804932251572609,0.533593624830246,0.01834678277373314,0.1134601105004549,0.04066896252334118,0.006920164451003075,5.014394898808627,3.519610002706166,-0.04446674782157678,778,5.724036371443812,4.451874648083036,-0.787298940538492,286,0.4615016579627991
resnet_frozen,fold3_italy,3,0.8489286439890726,False,2,1e-05,1e-05,0.7170753236860037,0.10243933195514339,0.4808236379176378,0.15408217534422874,0.4528596196323633,1.8061644826084375,0.5365630704909563,0.01839468814432621,0.11348412185907364,0.040734270587563515,0.006894862279295921,5.032650871523027,3.5315773077677886,-0.052085799351920814,778,5.767168134167042,4.507495308541056,-0.8143357343926481,286,0.4716639518737793
resnet_frozen,fold3_italy,4,0.8060691534400293,False,3,1e-05,1e-05,0.7216168995946646,0.10308812851352352,0.47989154420793056,0.15810363925993443,0.4527374133467674,1.8136620465666056,0.5414760876446962,0.01822289638221264,0.11341550573706627,0.04057391546666622,0.006903216242790222,5.050100894367081,3.547806521771116,-0.05939437299067918,778,5.8007628173057375,4.556794927545082,-0.8355348950168127,286,0.4806486964225769
resnet_frozen,fold3_italy,5,0.7175289561019152,False,4,1e-05,1e-05,0.7168834954500198,0.1024119279214314,0.6309219300746918,0.1607322320342064,0.4541402533650398,1.9639823604375124,0.536289507523179,0.018399784341454506,0.11345618031919003,0.04077331721782684,0.0069399382919073105,5.058108606327069,3.55512354239699,-0.062756702170639,778,5.805129844781317,4.5822058937561385,-0.838299651610974,286,0.48529207706451416
resnet_frozen,fold3_italy,6,0.7923962781852193,False,5,1e-05,1e-05,0.7263191230595112,0.10375987472278732,0.4865658301860094,0.15477266535162926,0.4539213255047798,1.8228735160082579,0.5458609350025654,0.018413696438074112,0.11338528245687485,0.040797242894768715,0.00682847760617733,5.074174302871512,3.5644163426883395,-0.06951853483749026,778,5.837211722074695,4.634316090212688,-0.8586744133386013,286,0.4952080547809601
resnet_frozen,fold3_italy,7,0.7728095103658563,False,6,1e-05,1e-05,0.7351672630757093,0.10502389472510133,0.54298478923738,0.1876106858253479,0.48059492371976376,1.9476813357323408,0.5545690022408962,0.018230311572551727,0.11360509134829044,0.04077056609094143,0.006976043805480003,5.076491639680998,3.56325186911752,-0.07049563986477891,778,5.833387067754298,4.647028389951034,-0.8562395322494945,286,0.4974066913127899
resnet_frozen,fold3_italy,8,0.7141845710479815,False,7,1e-05,1e-05,0.8094059769064188,0.11562942527234554,0.503053454682231,0.18895946070551872,0.47265744023025036,1.9753822106868029,0.6288205552846193,0.018407637253403664,0.11359043791890144,0.04069470055401325,0.006868738681077957,5.082107131184281,3.5646212323733764,-0.07286526219708178,778,5.860184148140563,4.684006911255186,-0.8733328778145382,286,0.5053032636642456
resnet_frozen,fold3_italy,9,0.8068910736044759,False,8,1e-05,1e-05,0.7364474926143885,0.10520678465919835,0.48639333061873913,0.17005306109786034,0.45464710518717766,1.849012777209282,0.5557217560708523,0.01837632805109024,0.11345752142369747,0.04075126722455025,0.007120843976736069,5.0802147726258315,3.551770521576038,-0.0720664330026568,778,5.872404065231241,4.705681880103955,-0.881153737893779,286,0.5097572207450867
resnet_frozen,fold3_italy,10,0.7784220197819806,False,9,1e-05,1e-05,0.7412520777434111,0.10589315396334444,0.4872604440897703,0.15802676044404507,0.4548227731138468,1.842679813504219,0.5608066972345114,0.018392369151115417,0.11360115557909012,0.04051543027162552,0.006912451237440109,5.079956120305832,3.5495322413169754,-0.07195727013316677,778,5.8737857730400895,4.7081519216437036,-0.8820390688627042,286,0.5106372833251953
resnet_frozen,fold3_italy,11,0.7379298933367496,False,10,1e-05,1e-05,0.7244752123951912,0.10349645891359874,0.4876858051866293,0.1584837194532156,0.4559367448091507,1.827878039330244,0.5439607575535774,0.018138393759727478,0.11350531131029129,0.04100576415657997,0.00685185007750988,5.06917161295601,3.5347000669433286,-0.06741067187375438,778,5.873533620641846,4.7075345537958855,-0.8818774863681882,286,0.5106322765350342
resnet_frozen,fold3_italy,12,0.7715283114376902,False,11,1e-05,1e-05,0.7280138768255711,0.104001982403653,0.4924623668193817,0.1578302402049303,0.4551830906420946,1.8347871340811253,0.5472034960985184,0.01836201548576355,0.11368436738848686,0.04089673236012459,0.006861360743641853,5.053363323841717,3.5217908654488355,-0.06076357961622647,778,5.858068349546307,4.694601124593546,-0.871980401698313,286,0.5077245235443115
resnet_frozen,fold3_italy,13,0.731519104582485,False,12,1e-05,1e-05,0.726376673206687,0.10376809617238385,0.49099736474454403,0.15748086012899876,0.4544550906866789,1.8306219018995762,0.5459888689219952,0.01815275475382805,0.11348512023687363,0.040904220193624496,0.006841273978352547,5.03367787485659,3.5149554843225785,-0.05251523739482966,778,5.820214619249991,4.650096271421553,-0.84786579926889,286,0.4990442991256714
resnet_frozen,fold3_italy,14,0.7626012523866864,False,13,1e-05,1e-05,0.7245219312608242,0.1035031330372606,0.48778141289949417,0.15650874935090542,0.45382530242204666,1.8239249736070633,0.5440424513071775,0.018399106338620186,0.11346613988280296,0.04070086218416691,0.0068750642240047455,5.033857333207008,3.5119516817139256,-0.05259028630338802,778,5.827216616908867,4.657986205194435,-0.8523146163030757,286,0.5007153749465942
resnet_frozen,fold3_italy,15,0.7997098201957644,False,14,1e-05,1e-05,0.7255174200981855,0.10364534572831222,0.4870338011533022,0.15726189129054546,0.4537114128470421,1.8248518034815788,0.5451826602220535,0.01843927428126335,0.11342421919107437,0.04054448567330837,0.006905084475874901,5.026325322091745,3.508621725821991,-0.04944272374632708,778,5.814803629624453,4.645188412990525,-0.8444315153313371,286,0.49904322624206543
resnet_frozen,fold3_italy,16,0.7847399307094074,False,15,1e-05,1e-05,0.7232820726931095,0.10332601038472992,0.48740447871387005,0.15714234858751297,0.4536219537258148,1.822742873802781,0.5430138744413853,0.018269294872879982,0.11343240365386009,0.04072435945272446,0.006839975714683533,5.032133756507721,3.4993163644492276,-0.051869602589205144,778,5.846574186122433,4.680394222310099,-0.8646415527163174,286,0.505317211151123
resnet_frozen,fold3_italy,17,0.7473461560541069,False,16,1e-05,1e-05,0.7221975475549698,0.10317107822213854,0.48958421126008034,0.15783181972801685,0.4557884316891432,1.8266979157924652,0.5416614469140768,0.018329357728362083,0.11345957405865192,0.04091154970228672,0.006824079900979996,5.011454327372019,3.4779632996263325,-0.04324210213909274,778,5.847776443287051,4.68250289312386,-0.8654085007061325,286,0.5054467916488647
resnet_frozen,fold3_italy,18,0.7720442829524337,False,17,1e-05,1e-05,0.7251939009875059,0.10359912871250085,0.48867135122418404,0.15664586797356606,0.4535580724477768,1.8253600038588047,0.5449564140290022,0.01827639527618885,0.11349387839436531,0.040600135922431946,0.006859106943011284,4.9887208773594685,3.470429447697852,-0.03379865594693787,778,5.80845999727057,4.6350423885476975,-0.8404093629304432,286,0.496738463640213
resnet_frozen,fold3_italy,19,0.7280303494176399,False,18,1e-05,1e-05,3.1240938249975443,0.44629911785679205,1.70032774284482,0.14202377572655678,0.4465492442250252,5.414307460188866,2.945062145590782,0.018087416887283325,0.11438874527812004,0.03864878788590431,0.006822960451245308,4.982819955356147,3.4600330959566086,-0.0313544392954197,778,5.808323705872129,4.638572923286566,-0.8403229961402443,286,0.49699273705482483
resnet_frozen,fold3_italy,20,0.7752076519179161,False,19,1e-05,1e-05,0.7152997106313705,0.10218567294733864,0.47812079079449177,0.15307492576539516,0.44991903752088547,1.797708310186863,0.5308302138000727,0.01804732158780098,0.1133730411529541,0.04524466022849083,0.006803987547755241,4.962537302053135,3.452667882156366,-0.022975236376512553,778,5.767775100801454,4.595004527566313,-0.814717654662334,286,0.4880801737308502
resnet_frozen,fold3_italy,21,0.7535642523385565,False,20,1e-05,1e-05,0.7178430333733559,0.10254900476762227,0.478011604398489,0.15353120304644108,0.4509941078722477,1.801674511283636,0.5329741220921278,0.018341651186347008,0.11334522999823093,0.04541650786995888,0.006759285926818848,4.966457216287334,3.451290813303414,-0.024591973415760693,778,5.782923531318173,4.611171573680116,-0.8242624873649183,286,0.491428017616272
resnet_frozen,fold3_italy,22,0.7445026957896804,False,21,1e-05,1e-05,0.7200581356883049,0.10286544795547213,0.4845472276210785,0.15475598722696304,0.4525119699537754,1.8131637908518314,0.5349992476403713,0.01845892332494259,0.11331969127058983,0.04543449729681015,0.006854843348264694,4.952602232218979,3.446998447937266,-0.018883314753181057,778,5.762831954316684,4.587595135919873,-0.8116084587977415,286,0.4870319068431854
resnet_frozen,fold3_italy,23,0.7886034786547977,False,22,1e-05,1e-05,0.7248959206044674,0.10355656008635249,0.4817248359322548,0.1552061066031456,0.45240181125700474,1.8155510760843754,0.5399950481951237,0.01842862367630005,0.11330986768007278,0.045278506353497505,0.006854228675365448,4.947443356482382,3.43582472364904,-0.016761781644992313,778,5.767046930747894,4.59197299899766,-0.8142594746483109,286,0.4876456558704376
