station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status
ES0880A,development_cv,ES,,43.5512,-5.9197,fold1_iberia,8.940944531247792,365,365,8.940944521816752,18.88567741750463,-36,True,False,9.431040837171167e-09,computed
ES1037A,development_cv,ES,,43.36764,-4.043195,fold1_iberia,8.203125063267965,64,362,8.203125,16.08431181144575,265,False,True,6.326796508915322e-08,computed
ES1044A,development_cv,ES,,41.67028,-0.87111,fold1_iberia,7.303960274255252,365,312,7.303960307085504,21.128205128205128,-36,True,False,3.2830251406323896e-08,computed
ES1096A,development_cv,ES,,42.35194,-7.87694,fold1_iberia,19.329134923485245,360,360,19.32913459560565,28.16193227877102,-31,True,False,3.2787959369784403e-07,computed
ES1137A,development_cv,ES,,42.21917,-8.74194,fold1_iberia,8.576424046934854,360,360,8.576424071884693,20.361707666396022,-31,True,False,2.494983952772145e-08,computed
ES1138A,development_cv,ES,,43.36778,-8.41889,fold1_iberia,8.785918066359452,366,366,8.785918116694015,14.746405105468156,-37,True,False,5.033456318415119e-08,computed
ES1148A,development_cv,ES,,41.43333,2.22,fold1_iberia,10.665358257363602,321,341,10.665358255451713,23.736795628608224,8,False,True,1.9118893135328108e-09,computed
ES1161A,development_cv,ES,,42.6039,-5.5872,fold1_iberia,8.68306849267215,366,366,8.683068506387428,17.46840945051494,-37,True,False,1.3715277802361925e-08,computed
ES1162A,development_cv,ES,,41.31639,-4.90917,fold1_iberia,6.784844669995919,366,366,6.78484461507448,15.113745707250697,-37,True,False,5.492143895224899e-08,computed
ES1181A,development_cv,ES,,39.48111,-0.44722,fold1_iberia,12.097776637255324,361,361,12.097776710009885,25.238507026981516,-32,True,False,7.275456148647663e-08,computed
ES1185A,development_cv,ES,,39.66722,-0.23472,fold1_iberia,5.5673154343374645,362,362,5.567315529532017,8.098588384572682,-33,True,False,9.519455268502952e-08,computed
