split,Air Quality Station Area,stations,mean_pm25,median_pm25
development_cv,rural,175,8.57549812842169,7.587770220597638
development_cv,rural-nearcity,39,10.031036885561681,9.515519417106654
development_cv,rural-regional,46,6.993507914710644,6.991984136351197
development_cv,rural-remote,9,5.850083298405943,5.374295713307319
development_cv,suburban,449,9.889575113406226,9.034166827112175
development_cv,urban,1151,12.08650369226423,10.73240469438406
held_out_test,rural,18,7.823464255438578,7.863382583249775
held_out_test,rural-nearcity,3,8.438762239187453,8.228770753727924
held_out_test,rural-regional,13,7.301556292469737,7.235617243493673
held_out_test,rural-remote,5,6.322337645967741,6.769236065767121
held_out_test,suburban,31,8.513937754442932,8.251535708425642
held_out_test,urban,94,9.180693283339535,9.148629842655001
