experiment,fold,pollutant,n_train,n_val,n_buffer_dropped,n_train_before_buffer,best_epoch,rmse,mae,r2,n,baseline_rmse,total_parameters,trainable_parameters,frozen_parameters,role,status
cnn_deep_wide,fold4_alpine,pm25,1466,253,150,1616,25,1.8183469422558884,1.338113706206906,-0.0364840397537875,253,3.3768510166887133,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold5_north,pm25,1672,197,0,1672,20,3.378271168776088,2.8566857796443985,-1.5188007700623285,197,5.270858973639683,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold6_balkan_e,pm25,1658,146,65,1723,42,6.318454634750708,4.246993123670474,-0.0467409764760451,146,8.296847586740398,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold7_balkan_s,pm25,1713,144,12,1725,34,6.575727886825703,5.040481766428956,0.0119315954546431,144,9.399567815060903,4536401,4536401,0,main,main_complete_cv
cnn_deep_wide,fold8_poland,pm25,1538,277,54,1592,22,4.220945264872737,3.3931693677981194,-1.0075743068742955,277,4.729557166067676,4536401,4536401,0,main,main_complete_cv
cnn_large,fold1_iberia,pm25,1662,204,3,1665,41,2.5877726951648663,1.944687384688546,-0.0108747648939955,204,4.199973338549879,2771681,2771681,0,supplementary_iberia_diagnostic,partial_diagnostic
resnet_frozen,fold1_iberia,pm25,1662,204,3,1665,16,3.0305072081608473,2.585008750601732,-0.3863591258972179,204,4.199973338549879,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold2_france,pm25,1392,362,115,1507,14,3.0907438793567765,2.8242250804666926,-2.4894613926710796,362,4.203182751213454,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold3_italy,pm25,1558,286,25,1583,240,4.425952671393595,3.3325390989606873,-0.0685773477591065,286,5.051499845035198,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold4_alpine,pm25,1466,253,150,1616,31,2.170250829682941,1.852433364567183,-0.4764847977280533,253,3.3768510166887133,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold5_north,pm25,1672,197,0,1672,20,4.274681485441865,3.808492324692664,-3.0328523699367045,197,5.270858973639683,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold6_balkan_e,pm25,1658,146,65,1723,439,7.748606626517028,5.262024410999048,-0.5742174043024091,146,8.296847586740398,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold7_balkan_s,pm25,1713,144,12,1725,151,8.858907874426768,6.96611371515974,-0.7933279470340098,144,9.399567815060903,23766049,236065,23529984,main,main_complete_cv
resnet_frozen,fold8_poland,pm25,1538,277,54,1592,1,5.550723226421311,4.834385281342376,-2.4717730979769468,277,4.729557166067676,23766049,236065,23529984,main,main_complete_cv
resnet_full,fold1_iberia,pm25,1662,204,3,1665,16,3.045542387693153,2.6042003914990333,-0.4001494677240325,204,4.199973338549879,23766049,23712929,53120,supplementary_iberia_diagnostic,partial_diagnostic
resnet_layer4,fold1_iberia,pm25,1662,204,3,1665,16,3.0329785522230184,2.588737597413672,-0.3886211679646523,204,4.199973338549879,23766049,15178273,8587776,historical,historical_complete_cv
resnet_layer4,fold2_france,pm25,1392,362,115,1507,14,3.084111145915556,2.81780060087825,-2.4745007010340916,362,4.203182751213454,23766049,15178273,8587776,historical,historical_complete_cv
resnet_layer4,fold3_italy,pm25,1558,286,25,1583,240,4.415776879419765,3.326572335315381,-0.063669423191933,286,5.051499845035198,23766049,15178273,8587776,historical,historical_complete_cv
resnet_layer4,fold4_alpine,pm25,1466,253,150,1616,23,2.1676420577400255,1.8513538351141112,-0.4729372842268819,253,3.3768510166887133,23766049,15178273,8587776,historical,historical_complete_cv
resnet_layer4,fold5_north,pm25,1672,197,0,1672,20,4.268770987401658,3.8009170213963306,-3.0217078262944286,197,5.270858973639683,23766049,15178273,8587776,historical,historical_complete_cv
resnet_layer4,fold6_balkan_e,pm25,1658,146,65,1723,356,7.756667172095148,5.289464443678487,-0.5774942905063452,146,8.296847586740398,23766049,15178273,8587776,historical,historical_complete_cv
resnet_layer4,fold7_balkan_s,pm25,1713,144,12,1725,151,8.864358856286191,6.972357080640962,-0.7955355341768025,144,9.399567815060903,23766049,15178273,8587776,historical,historical_complete_cv
resnet_layer4,fold8_poland,pm25,1538,277,54,1592,1,5.550738567159489,4.834396158859427,-2.4717922881377734,277,4.729557166067676,23766049,15178273,8587776,historical,historical_complete_cv
