experiment,status,pollutant,pooled_cv_rmse,pooled_cv_mae,pooled_cv_r2,mean_fold_rmse,mean_fold_mae,mean_fold_r2,n_oof,median_best_epoch,total_parameters,trainable_parameters
cnn,development_complete_cv,pm25,3.797126999941868,2.652562973662934,0.4250360462115307,3.814833623444626,2.9132930181891306,-0.32620004352124826,1869,18.5,1297569,1297569
cnn_deep,partial_diagnostic,pm25,2.5428055874368227,1.957855075304717,0.023951458071885368,2.5428055874368227,1.957855075304717,0.0239514580718853,204,7.0,2082369,2082369
cnn_deep_wide,main_complete_cv,pm25,3.745917800922522,2.6038953094184114,0.440439745883756,3.7706106019349894,2.8588751284925733,-0.3045080517896546,1869,23.5,4536401,4536401
cnn_large,partial_diagnostic,pm25,2.5877726951648663,1.944687384688546,-0.010874764893995525,2.5877726951648663,1.944687384688546,-0.0108747648939955,204,41.0,2771681,2771681
resnet_frozen,main_complete_cv,pm25,4.870012332903805,3.655568077942807,0.05421919734892622,4.893796725175141,3.9331527533487654,-1.286631685413191,1869,25.5,23766049,236065
resnet_full,partial_diagnostic,pm25,3.045542387693153,2.6042003914990333,-0.4001494677240325,3.045542387693153,2.6042003914990333,-0.4001494677240325,204,16.0,23766049,23712929
resnet_layer4,historical_complete_cv,pm25,4.869017632948253,3.65549925798977,0.05460550932602937,4.892630527280106,3.935199884162077,-1.2832823144416134,1869,21.5,23766049,15178273
