model,fraction,n_seeds,pooled_oof_rmse_mean,pooled_oof_rmse_std,pooled_oof_mae_mean,pooled_oof_mae_std,pooled_oof_r2_mean,pooled_oof_r2_std
cnn_deep_wide,0.25,3,3.8464704940599588,0.10259490559499297,2.6716778062863322,0.060373132108015974,0.40971586039144275,0.03153782607117852
cnn_deep_wide,0.5,3,3.9167338330339496,0.027173052555232297,2.673112246553094,0.0497599245959122,0.3882240113131619,0.008482211520757106
cnn_deep_wide,1.0,1,3.822866467296536,0.0,2.699966389271987,0.0,0.4172146456726721,0.0
resnet_frozen,0.25,3,5.313118578109331,0.03594175837270733,3.951146223660166,0.0417547216614938,-0.12575177698232812,0.01520358301716108
resnet_frozen,0.5,3,5.2527078077525795,0.030578319587502855,3.915114265628668,0.03128396898928064,-0.10028874652580666,0.012791293102136477
resnet_frozen,1.0,1,4.894636857664803,0.0,3.6632484026145877,0.0,0.044630604559482534,0.0
