model,fraction,seed,n_folds,n_oof,pooled_oof_rmse,pooled_oof_mae,pooled_oof_r2,mean_fold_rmse,mean_fold_mae,mean_fold_r2,median_best_epoch
cnn_deep_wide,0.25,1,8,1869,3.9538717531954144,2.738464269670986,0.37658746210737426,3.9406422652224045,2.9645208161038337,-0.45902176854998217,32.5
cnn_deep_wide,0.25,2,8,1869,3.7494750402503594,2.6209758683465796,0.43937648628450354,3.831171207727559,2.90771111337322,-0.4007275991524828,14.0
cnn_deep_wide,0.25,3,8,1869,3.8360646887341026,2.655593280841431,0.4131836327824504,3.8148640817200645,2.8781702682453463,-0.26352162101400706,30.0
cnn_deep_wide,0.5,1,8,1869,3.887837331660881,2.618029699275947,0.39723706032035755,3.892543000082394,2.905999883172697,-0.3000209742340421,14.5
cnn_deep_wide,0.5,2,8,1869,3.920593460511273,2.7148127869412737,0.38703736978615855,3.9460924683834095,3.0201430351666185,-0.41398917571730054,26.0
cnn_deep_wide,0.5,3,8,1869,3.9417707069296934,2.6864942534420617,0.3803976038329696,3.945833959466174,2.9436677550573647,-0.4115446037966409,23.0
cnn_deep_wide,1.0,,8,1869,3.822866467296536,2.699966389271987,0.4172146456726721,3.837982213295934,2.936294233783906,-0.39681079735971125,15.0
resnet_frozen,0.25,1,8,1869,5.272087949507504,3.906606640485241,-0.10839783429395933,5.242430339999103,4.294418832705476,-1.3778127580121233,29.0
resnet_frozen,0.25,2,8,1869,5.339035339653924,3.989404321254888,-0.13672645184009236,5.320576039927925,4.371455078009493,-1.4940908490470677,26.5
resnet_frozen,0.25,3,8,1869,5.328232445166567,3.9574277092403687,-0.1321310448129327,5.299093874159805,4.345049929202405,-1.4310952651929532,3.5
resnet_frozen,0.5,1,8,1869,5.217876568007751,3.8820628600707057,-0.08572033948506919,5.190150967455383,4.2155743255692695,-1.3855317922261072,43.5
resnet_frozen,0.5,2,8,1869,5.265111224299698,3.9190149868748057,-0.1054662188230937,5.238250392932173,4.248533680041533,-1.4530649974114063,22.5
resnet_frozen,0.5,3,8,1869,5.275135630950292,3.944264949940491,-0.10967968126925709,5.2496769160631995,4.26776321968128,-1.4703798050273562,38.0
resnet_frozen,1.0,,8,1869,4.894636857664803,3.6632484026145877,0.044630604559482534,4.912314515755892,3.9484576508497895,-1.263485751770944,32.0
