model,validation_fold,fraction,seed,pollutant,n_train_before_buffer,n_buffer_dropped,n_train_after_buffer,n_train_sampled,sampled_counts_by_source_fold,best_epoch,rmse,mae,r2,n_validation,total_parameters,trainable_parameters,frozen_parameters,source
cnn_deep_wide,fold6_balkan_e,0.25,2,pm25,1723,65,1658,413,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 67, ""fold4_alpine"": 60, ""fold5_north"": 49, ""fold7_balkan_s"": 33, ""fold8_poland"": 63}",7,6.475370478909392,4.369977233177575,-0.09937721383853027,146,4536401,4536401,0,ablation_run
cnn_deep_wide,fold7_balkan_s,0.25,2,pm25,1725,12,1713,428,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold8_poland"": 69}",28,6.349707741031944,4.824029553381152,0.07868778148530764,144,4536401,4536401,0,ablation_run
cnn_deep_wide,fold8_poland,0.25,2,pm25,1592,54,1538,384,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 52, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold7_balkan_s"": 36}",20,3.9547791413978093,3.0843769503826324,-0.7623682173610111,277,4536401,4536401,0,ablation_run
cnn_deep_wide,fold1_iberia,0.25,3,pm25,1665,3,1662,415,"{""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold5_north"": 49, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",37,2.3512663378313725,1.7437463169953895,0.1654569312594384,204,4536401,4536401,0,ablation_run
cnn_deep_wide,fold2_france,0.25,3,pm25,1507,115,1392,347,"{""fold1_iberia"": 46, ""fold3_italy"": 69, ""fold4_alpine"": 42, ""fold5_north"": 49, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",23,2.0945529720272145,1.6866587186161184,-0.6025628124434199,362,4536401,4536401,0,ablation_run
cnn_deep_wide,fold3_italy,0.25,3,pm25,1583,25,1558,389,"{""fold1_iberia"": 51, ""fold2_france"": 88, ""fold4_alpine"": 62, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",14,4.146264685877042,3.1922454108317924,0.06220809554435014,286,4536401,4536401,0,ablation_run
cnn_deep_wide,fold4_alpine,0.25,3,pm25,1616,150,1466,366,"{""fold1_iberia"": 51, ""fold2_france"": 77, ""fold3_italy"": 62, ""fold5_north"": 49, ""fold6_balkan_e"": 32, ""fold7_balkan_s"": 36, ""fold8_poland"": 59}",5,1.7275770831324697,1.2871397840733778,0.06441341140768819,253,4536401,4536401,0,ablation_run
cnn_deep_wide,fold5_north,0.25,3,pm25,1672,0,1672,417,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold6_balkan_e"": 36, ""fold7_balkan_s"": 36, ""fold8_poland"": 69}",6,2.7357870328650464,2.311153968572469,-0.6518453006677045,197,4536401,4536401,0,ablation_run
cnn_deep_wide,fold6_balkan_e,0.25,3,pm25,1723,65,1658,413,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 67, ""fold4_alpine"": 60, ""fold5_north"": 49, ""fold7_balkan_s"": 33, ""fold8_poland"": 63}",54,6.6736261087740925,4.483668084195914,-0.16772675644511947,146,4536401,4536401,0,ablation_run
cnn_deep_wide,fold7_balkan_s,0.25,3,pm25,1725,12,1713,428,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 63, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold8_poland"": 69}",57,6.592779046592712,4.935187968759564,0.006800737805374046,144,4536401,4536401,0,ablation_run
cnn_deep_wide,fold8_poland,0.25,3,pm25,1592,54,1538,384,"{""fold1_iberia"": 51, ""fold2_france"": 90, ""fold3_italy"": 72, ""fold4_alpine"": 52, ""fold5_north"": 49, ""fold6_balkan_e"": 34, ""fold7_balkan_s"": 36}",48,4.197059386660567,3.3855618939181436,-0.9849172745726633,277,4536401,4536401,0,ablation_run
cnn_deep_wide,fold1_iberia,0.5,1,pm25,1665,3,1662,830,"{""fold2_france"": 180, ""fold3_italy"": 143, ""fold4_alpine"": 126, ""fold5_north"": 98, ""fold6_balkan_e"": 73, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",28,2.4743227186193786,1.81306556163112,0.07581738860456388,204,4536401,4536401,0,ablation_run
cnn_deep_wide,fold2_france,0.5,1,pm25,1507,115,1392,695,"{""fold1_iberia"": 92, ""fold3_italy"": 138, ""fold4_alpine"": 84, ""fold5_north"": 98, ""fold6_balkan_e"": 73, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",16,1.8599682225165446,1.355935254228882,-0.26369833484370475,362,4536401,4536401,0,ablation_run
cnn_deep_wide,fold3_italy,0.5,1,pm25,1583,25,1558,778,"{""fold1_iberia"": 102, ""fold2_france"": 177, ""fold4_alpine"": 123, ""fold5_north"": 98, ""fold6_balkan_e"": 68, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",16,4.007165009170127,3.144503447907036,0.12407506434629978,286,4536401,4536401,0,ablation_run
cnn_deep_wide,fold4_alpine,0.5,1,pm25,1616,150,1466,732,"{""fold1_iberia"": 102, ""fold2_france"": 154, ""fold3_italy"": 124, ""fold5_north"": 98, ""fold6_balkan_e"": 64, ""fold7_balkan_s"": 72, ""fold8_poland"": 118}",3,1.6608340246425195,1.2234318441190464,0.13530771694835753,253,4536401,4536401,0,ablation_run
cnn_deep_wide,fold5_north,0.5,1,pm25,1672,0,1672,835,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 143, ""fold4_alpine"": 126, ""fold6_balkan_e"": 73, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",8,3.299587927108023,2.7624655150778863,-1.402836454074711,197,4536401,4536401,0,ablation_run
cnn_deep_wide,fold6_balkan_e,0.5,1,pm25,1723,65,1658,827,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 134, ""fold4_alpine"": 120, ""fold5_north"": 98, ""fold7_balkan_s"": 66, ""fold8_poland"": 126}",8,7.257275587774782,4.807319080828102,-0.38090788243553564,146,4536401,4536401,0,ablation_run
cnn_deep_wide,fold7_balkan_s,0.5,1,pm25,1725,12,1713,855,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 143, ""fold4_alpine"": 126, ""fold5_north"": 98, ""fold6_balkan_e"": 67, ""fold8_poland"": 138}",13,6.762923730474434,5.095346389112251,-0.04512519020887762,144,4536401,4536401,0,ablation_run
cnn_deep_wide,fold8_poland,0.5,1,pm25,1592,54,1538,769,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 143, ""fold4_alpine"": 104, ""fold5_north"": 98, ""fold6_balkan_e"": 69, ""fold7_balkan_s"": 72}",61,3.8182667803533445,3.045931972477253,-0.6428001022087291,277,4536401,4536401,0,ablation_run
cnn_deep_wide,fold1_iberia,0.5,2,pm25,1665,3,1662,830,"{""fold2_france"": 180, ""fold3_italy"": 143, ""fold4_alpine"": 126, ""fold5_north"": 98, ""fold6_balkan_e"": 73, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",5,2.5103295045905925,1.9742109135180517,0.04872394439892669,204,4536401,4536401,0,ablation_run
cnn_deep_wide,fold2_france,0.5,2,pm25,1507,115,1392,695,"{""fold1_iberia"": 92, ""fold3_italy"": 138, ""fold4_alpine"": 84, ""fold5_north"": 98, ""fold6_balkan_e"": 73, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",26,1.7069753852904328,1.2953447652158576,-0.06435592147038705,362,4536401,4536401,0,ablation_run
cnn_deep_wide,fold3_italy,0.5,2,pm25,1583,25,1558,778,"{""fold1_iberia"": 102, ""fold2_france"": 177, ""fold4_alpine"": 123, ""fold5_north"": 98, ""fold6_balkan_e"": 68, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",26,3.577197028769863,2.780200273988474,0.30196346148306286,286,4536401,4536401,0,ablation_run
cnn_deep_wide,fold4_alpine,0.5,2,pm25,1616,150,1466,732,"{""fold1_iberia"": 102, ""fold2_france"": 154, ""fold3_italy"": 124, ""fold5_north"": 98, ""fold6_balkan_e"": 64, ""fold7_balkan_s"": 72, ""fold8_poland"": 118}",54,1.937383347329865,1.4025143941731515,-0.1766308843054627,253,4536401,4536401,0,ablation_run
cnn_deep_wide,fold5_north,0.5,2,pm25,1672,0,1672,835,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 143, ""fold4_alpine"": 126, ""fold6_balkan_e"": 73, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",2,3.6360932309326377,3.212422538806217,-1.917929673397277,197,4536401,4536401,0,ablation_run
cnn_deep_wide,fold6_balkan_e,0.5,2,pm25,1723,65,1658,827,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 134, ""fold4_alpine"": 120, ""fold5_north"": 98, ""fold7_balkan_s"": 66, ""fold8_poland"": 126}",41,6.690776206050326,4.464925043265481,-0.17373619153822495,146,4536401,4536401,0,ablation_run
cnn_deep_wide,fold7_balkan_s,0.5,2,pm25,1725,12,1713,855,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 143, ""fold4_alpine"": 126, ""fold5_north"": 98, ""fold6_balkan_e"": 67, ""fold8_poland"": 138}",26,7.120069510684907,5.519558261097608,-0.158424727981886,144,4536401,4536401,0,ablation_run
cnn_deep_wide,fold8_poland,0.5,2,pm25,1592,54,1538,769,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 143, ""fold4_alpine"": 104, ""fold5_north"": 98, ""fold6_balkan_e"": 69, ""fold7_balkan_s"": 72}",17,4.389915533418651,3.511968091268108,-1.1715234129271566,277,4536401,4536401,0,ablation_run
cnn_deep_wide,fold1_iberia,0.5,3,pm25,1665,3,1662,830,"{""fold2_france"": 180, ""fold3_italy"": 143, ""fold4_alpine"": 126, ""fold5_north"": 98, ""fold6_balkan_e"": 73, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",59,2.326133824687066,1.7428995964721445,0.1832023173278352,204,4536401,4536401,0,ablation_run
cnn_deep_wide,fold2_france,0.5,3,pm25,1507,115,1392,695,"{""fold1_iberia"": 92, ""fold3_italy"": 138, ""fold4_alpine"": 84, ""fold5_north"": 98, ""fold6_balkan_e"": 73, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",24,1.9294787257719572,1.432740031497678,-0.3599168545223743,362,4536401,4536401,0,ablation_run
cnn_deep_wide,fold3_italy,0.5,3,pm25,1583,25,1558,778,"{""fold1_iberia"": 102, ""fold2_france"": 177, ""fold4_alpine"": 123, ""fold5_north"": 98, ""fold6_balkan_e"": 68, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",13,3.9577367143801996,3.094734019137308,0.14555083839386107,286,4536401,4536401,0,ablation_run
cnn_deep_wide,fold4_alpine,0.5,3,pm25,1616,150,1466,732,"{""fold1_iberia"": 102, ""fold2_france"": 154, ""fold3_italy"": 124, ""fold5_north"": 98, ""fold6_balkan_e"": 64, ""fold7_balkan_s"": 72, ""fold8_poland"": 118}",12,1.6895606465531041,1.259388696757248,0.10513671523852919,253,4536401,4536401,0,ablation_run
cnn_deep_wide,fold5_north,0.5,3,pm25,1672,0,1672,835,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 143, ""fold4_alpine"": 126, ""fold6_balkan_e"": 73, ""fold7_balkan_s"": 72, ""fold8_poland"": 138}",22,3.665438889153503,2.933620272556515,-1.9652189488849032,197,4536401,4536401,0,ablation_run
cnn_deep_wide,fold6_balkan_e,0.5,3,pm25,1723,65,1658,827,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 134, ""fold4_alpine"": 120, ""fold5_north"": 98, ""fold7_balkan_s"": 66, ""fold8_poland"": 126}",26,6.7225526825222515,4.459277967125473,-0.18491150088618125,146,4536401,4536401,0,ablation_run
cnn_deep_wide,fold7_balkan_s,0.5,3,pm25,1725,12,1713,855,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 143, ""fold4_alpine"": 126, ""fold5_north"": 98, ""fold6_balkan_e"": 67, ""fold8_poland"": 138}",29,6.94403188541643,5.078447064743208,-0.10185071119717715,144,4536401,4536401,0,ablation_run
cnn_deep_wide,fold8_poland,0.5,3,pm25,1592,54,1538,769,"{""fold1_iberia"": 102, ""fold2_france"": 181, ""fold3_italy"": 143, ""fold4_alpine"": 104, ""fold5_north"": 98, ""fold6_balkan_e"": 69, ""fold7_balkan_s"": 72}",21,4.331738307244879,3.548234392169344,-1.114348685842717,277,4536401,4536401,0,ablation_run
resnet_frozen,fold1_iberia,1.0,,pm25,1665,3,1662,1662,,15,3.0848901477077137,2.6276607871462865,-0.4365624487031212,204,23766049,236065,23529984,canonical_cv
resnet_frozen,fold2_france,1.0,,pm25,1507,115,1392,1392,,28,3.036762204135996,2.788471337223091,-2.3686348160048425,362,23766049,236065,23529984,canonical_cv
resnet_frozen,fold3_italy,1.0,,pm25,1583,25,1558,1558,,205,4.495832045343397,3.40032847438744,-0.1025862941439572,286,23766049,236065,23529984,canonical_cv
resnet_frozen,fold4_alpine,1.0,,pm25,1616,150,1466,1466,,27,2.165822238059462,1.839320481346106,-0.4704651462972149,253,23766049,236065,23529984,canonical_cv
resnet_frozen,fold5_north,1.0,,pm25,1672,0,1672,1672,,36,4.153117826786615,3.691461093611404,-2.8067408176043003,197,23766049,236065,23529984,canonical_cv
