split,station_area,n,mean,median,std,p25,p75,min,max
development_cv,rural,175,8.57549812842169,7.587770220597638,4.342129372436996,5.404716245228763,10.044220566370726,1.766934171682823,26.92462234854764
development_cv,rural-nearcity,39,10.031036885561681,9.515519417106654,2.583625815880181,8.327118056842604,11.59614625874806,3.2191103036173674,15.535532939714685
development_cv,rural-regional,46,6.993507914710644,6.991984136351197,2.4199755889160226,5.413597040759576,8.355789591588657,1.93367908458808,13.32741962408466
development_cv,rural-remote,9,5.850083298405943,5.374295713307319,1.9068428848844339,4.233481104231003,7.319827545591599,3.5043852072443182,8.683889396430612
development_cv,suburban,449,9.889575113406226,9.034166827112175,4.057335276861515,7.252752687515683,11.481205504002132,2.7850421161207732,30.482628212817936
development_cv,urban,1151,12.08650369226423,10.73240469438406,5.251379140247773,8.184424534412535,14.912931487734582,2.9053246587877393,49.00577017408457
held_out_test,rural,18,7.823464255438578,7.863382583249775,1.2167340249181793,7.565102671185018,8.407150083812866,4.895067961530734,10.29733894587973
held_out_test,rural-nearcity,3,8.438762239187453,8.228770753727924,0.4844804486544325,8.16173765050686,8.610791085138281,8.094704547285795,8.992811416548637
held_out_test,rural-regional,13,7.301556292469737,7.235617243493673,1.0685570410077203,6.651612790367713,8.412530688683995,5.620372575631855,8.899000198504792
held_out_test,rural-remote,5,6.322337645967741,6.769236065767121,1.1495399808112592,6.036203231268646,7.174703268739679,4.443833585432099,7.1877120786311615
held_out_test,suburban,31,8.513937754442932,8.251535708425642,0.956919844056945,7.916724367316275,8.985156773083416,6.71708337264075,11.187530305237512
held_out_test,urban,94,9.180693283339535,9.148629842655001,1.3681758757091007,8.486075841906093,9.62121317118761,5.722614853182783,13.36234248530648
